,Название статьи,Дата,Кол-во просмотров
241,В Украине хотят создать современную сеть е-навигации мореплавания,29.07.2020,329
242,"Куцый поинтересовался, как делают в Одесской области стеклофибробетон",29.07.2020,587
243,В степях Фрумушики поселился Сталин,29.07.2020,630
244,Показатели еженедельной динамики COVID-19 в Одессе говорят о росте случаев заболевания,29.07.2020,435
245,COVID-19 в Одесской области: 73 новых случая за сутки,29.07.2020,1028
246,Полиция установила нападавших на одесского активиста,29.07.2020,628
247,На трассе Южный-Одесса обстреляли автомобиль активиста Демьяна Ганула,28.07.2020,553
248,В одесском дворике на Успенской появилась новая скульптура,28.07.2020,436
249,"Без света, без воды, без газа: Кому в Одессе с ночи 28 июля отключат блага цивилизации",28.07.2020,1042
250,На ОПЗ заявили о давлении по поводу конкурса на поставщика сырья,28.07.2020,415
251,В Одессе министр инфраструктуры собрал экспертов: Что дальше делать с Delfi,28.07.2020,535
252,К одесским пограничникам нагрянул «ревизор»,28.07.2020,773
253,За что нардепы хотят лишить Степанова министерского кресла,28.07.2020,448
254,Бой Ломаченко – Лопес в очередной раз перенесён: теперь на 3 октября и со зрителями,28.07.2020,378
255,COVID-19 в Одессе: из-за роста больных запускают больницы второй волны,28.07.2020,583
256,COVID-19 в Одесской области: 53 новых случая за сутки,28.07.2020,760
257,Каждый 4-й ПЦР-тест в Украине может быть ложным,28.07.2020,1329
258,В Одессе для тушения пожара площадью в 1 кв.м приехали 20 пожарников на 7 машинах,28.07.2020,625
259,Подозреваемый в нападении на лидера одесской «Спільної мети» признал свою вину,28.07.2020,517
260,На прошлой неделе в городских роддомах Одессы появились на свет 269 новорожденных,27.07.2020,410
261,Кто в Одессе 28 июля останется без газа и света,27.07.2020,1055
262,В Чёрном море завершились учения Sea Breeze-2020,27.07.2020,412
263,"COVID-19 в Одессе: за воскресенье 35 новых случаев, 2 смертельных",27.07.2020,592
264,В Хозяйственном суде Одесской области обнаружили COVID-19,27.07.2020,530
265,"От коронавируса умер врач сборной Украины по футболу, ещё 8200 медиков заражены",27.07.2020,767
266,Проблему с танкером Delfi признали чрезвычайной ситуацией местного уровня,27.07.2020,549
267,Кто в Одессе 27 июля останется без света,27.07.2020,1072
268,Пойдут ли одесские детишки 1 сентября в школу,26.07.2020,3239
269,Из окна дома на Балковской в Одессе выпало полуторагодовалое дитя,26.07.2020,1049
270,Издана книга погибшего в Одессе на пожаре директора Института морской биологии,26.07.2020,720
271,Delfi прописался на пляже «Дельфин» в Одессе до осени,25.07.2020,779
272,"COVID-19: В Одессе за сутки в инфекционку попали 32 человека, одна умерла в реанимации",25.07.2020,771
273,Отстрелялись: эскадра НАТО в составе пяти кораблей зашла в Одессу после учений,25.07.2020,999
274,Из одесского зоопарка сбежали три гамадрила: карантин замучил,25.07.2020,466
275,Мэр Одессы проводит международные переговоры в форматах он- и офлайн,25.07.2020,510
276,Куцый призвал жителей Одесской области не пренебрегать масками,25.07.2020,688
277,Кабмин рассказал подробности карантина в августе,25.07.2020,904
278,С 6 утра субботы начался новый штурм затонувшего танкера «Delfi»,25.07.2020,996
279,Sea Breeze-2020: В Чёрном море провели активную фазу учений,24.07.2020,489
280,Кто в Одессе 25 июля останется без света,24.07.2020,817
281,Главный санитарный врач Одесской области разрешил купаться почти везде,24.07.2020,673
282,Удастся ли сегодня поднять танкер Delfi,24.07.2020,498
283,Государство отсудило часть акций Одесской киностудии,24.07.2020,369
284,COVID-19 в Одессе: на карантин закрыта подстанция скорой помощи,24.07.2020,698
285,"COVID-19 в Одесской области: за сутки 58 новых больных, 1 умер",24.07.2020,565
286,"COVID-19 в Украине: подтверждено 62 823 случая, за сутки — 972",24.07.2020,776
287,Экс-руководитель ГУ Миндоходов в Одесской области отправлен под домашний арест,24.07.2020,437
288,"Что не понравилось пограничникам в багаже украинца, возвращавшегося из Молдовы",24.07.2020,477
289,В Одесской области мужчина устроил стрельбу и угрожал полицейским,24.07.2020,534
290,Жителя Одесской области задержали с пачкой поддельных 500-гривневых купюр,23.07.2020,636
291,Sea Breeze-2020: проведены учения с участием катеров,23.07.2020,513
292,Кто в Одессе 24 июля останется без света,23.07.2020,1003
293,Ремонт спуска Маринеско в Одессе близится к финалу,23.07.2020,661
294,В Одесской области в одном доме сгорели 2 человека,23.07.2020,477
295,За последние сутки ещё 15 одесситов попали в паутину COVID-19,23.07.2020,750
296,Куцый: Истории с DELFI необходимо положить конец,23.07.2020,504
297,"COVID-19 в Одесской области: за сутки 31 новый больной, 1 умер",23.07.2020,457
298,В Украине подтвердили за сутки 856 новых случаев COVID-19,23.07.2020,561
299,В Одессе прошла акция протеста родителей,23.07.2020,932
300,В Украине продлили карантин до конца лета,22.07.2020,637
301,Кто в Одессе 23 июля останется без воды и света,22.07.2020,1106
302,"Неижпапа проверил, чем занимается штаб учений Си Бриз-2020",22.07.2020,666
303,Берегите себя: За последние сутки в Одессе девять новых случаев COVID-19,22.07.2020,564
304,Измаильских чиновников обвиняют в незаконном выводе денег со счетов Дунайского пароходства,22.07.2020,371
305,В Одесском горсовете проголосовали за нового почётного гражданина города,22.07.2020,535
306,"COVID-19 в Одесской области: 22 новых больных, 1 умер",22.07.2020,889
307,«Импотентные» власти Одессы не выполнили наказ Зеленского убрать Delfi до 20 июля,22.07.2020,515
308,Нардеп обратился к одесскому мэру взять под охрану «Крылья Победы»,22.07.2020,457
309,"МИД установил связь с судовладельцем танкера, который подвергся нападению пиратов",21.07.2020,543
310,Холерный вибрион в Одессе не выделен,21.07.2020,401
311,Кто в Одессе 22 июля останется без света,21.07.2020,996
312,В Одессе на Пушкинской вводится 4-хполосное движение,21.07.2020,654
313,Одесские пограничники изъяли 12 тонн суррогатного алкоголя,21.07.2020,504
314,В Одессе постепенно растёт количество заболевших COVID-19,21.07.2020,736
315,COVID-19: сутки в Одесской области прошли без летальных исходов,21.07.2020,561
316,Опасная находка пролежала на Мореходной в Одессе 75 лет,21.07.2020,530
317,Санитарные службы в Одессе настоятельно советуют воздержаться от купания,20.07.2020,616
318,Свитолина после проигрыша в Германии: Готова только выпить вина и отправиться на пляж,20.07.2020,470
319,Кто в Одессе 21 июля останется без света,20.07.2020,1170
320,На прошлой неделе в Одессе родились четыре пары близнецов,20.07.2020,475
321,В Чёрном море стартовали украинско-американские учения Sea Breeze-2020,20.07.2020,482
322,За воскресенье к числу коронавирусников добавились ещё 10 одесситов,20.07.2020,642
323,"Известный бизнесмен усомнился в правдивости тестов на COVID, проводимых в Одессе",20.07.2020,504
324,Центр общественного здоровья Минздрава перестал давать статистику о больных COVID-19,20.07.2020,520
325,Поднятие танкера Delfi с мели у побережья Одессы затягивается,20.07.2020,933
326,В Затоке ночью спасатели 3 часа тушили пожар на двух базах отдыха,20.07.2020,633
327,Минувшие выходные в Одесской области не обошлись без морских трагедий,20.07.2020,515
328,Кто в Одессе 20 июля останется без света,20.07.2020,922
329,"Попытка снять Delfi с мели не удалась, в воскресенье — продолжение операции",19.07.2020,651
330,Возле Нигерии пираты похитили с танкера 6 украинских моряков,19.07.2020,794
331,"За один день в Одесской области в ДТП погибло людей в 2 раза больше, чем от COVID",19.07.2020,1538
332,С чем приехал и с чем уехал из Одессы министр Петрашко,18.07.2020,1243
333,Неужели: с 6 утра в Одессе началась операция по подъёму затонувшего DELFI,18.07.2020,630
334,"За сутки в Одессе 27 новых случаев COVID-19, в т.ч. 1 — смертельный",18.07.2020,697
335,Куцый: Основная причина роста заболеваемости в Одесской области — несоблюдение карантина,18.07.2020,723
336,Какими оттенками расцветёт карантин в Украине,18.07.2020,814
337,Украинские морпорты за І полугодие почти на 10% увеличили перевалку грузов,18.07.2020,408
